DIT ID;DIT Main Category;DIT Sub Category;Language;Descriptions
3199;Education;Other (Education);en;Other Types of Education. Informal education provided outside of the school and higher education system. Including education in sports, recreational activities, arts, drama, music, driving lessons, academic tutoring and lifeguard training. Other educational support activities, including student exchange programs and educational counselling.
3200;Healthcare;;en;
3201;Healthcare;Medical Practices;en;Hospitals and medical practices, including family planning centres. Excluding vets and dentists.
3202;Healthcare;Dentists;en;Dental activities including dentists, orthodontists and oral pathologists.
3203;Healthcare;Vets;en;Animal health care activities carried out by qualified vets, excluding activities relating to artificial insemination.
3204;Healthcare;Residential Care;en;Residential care activities, including orphanages, homeless shelters, juvenile correction homes, nursing homes, rehabilitation clinics and retirement communities.
3299;Healthcare;Other (Healthcare);en;Other Types of Healthcare Provision. Specialist healthcare activities not included in other categories, e.g. opticians, occupational therapy, chiropody, homeopathy and physiotherapy.
3300;Community Groups, Social, Political and Religious;;en;
3301;Community Groups, Social, Political and Religious;Governmental Administration and Regulation;en;Public administration and regulatory bodies (e.g. customs administration, tax collection and administration of government-provided retirement pensions). Extraterratorial organisations e.g. UN, WHO and EC.
3302;Community Groups, Social, Political and Religious;Religious Organisations;en;Religious organisations including churches, mosques, temples, synagogues, and religious retreats.
3399;Community Groups, Social, Political and Religious;Other (Community Groups, Social, Political and Religious);en;Other community groups, social, political services not included in another category.
3400;Personal Services;;en;
3401;Personal Services;Residential Cleaning;en;Residential cleaning activities by individuals/small companies.
3402;Personal Services;Pet Services;en;Pet services including, boarding, grooming, sitting and training of pets.
3499;Personal Services;Other (Personal Services);en;Other personal services not included elsewhere, spiritualist/astrological activities, social activities (dating & escort services, marriage bureaux), shoe shiners and valet car parkers.
3500;Low Content;;en;
3501;Low Content;Empty;en;The website is empty (white screen).
3502;Low Content;Content Comming Soon;en;The domain was registered and content is comming.
3503;Low Content;Buy the Domain;en;The domain is for sale.
3504;Low Content;Reserved;en;"The website is reserved for something. The word ""reserved"" is explicitly stated!"
3505;Low Content;Links to random pages;en;The website has numerous links to random other pages but it is not being offered for sale.
3506;Low Content;Error Message;en;The website gives an error message i.e. 404, 607, etc.
3599;Low Content;Other (Low Content);en;The website does not belong into any of the previously stated groups.
